ID_DISTRITO_LOCAL,CABECERA,PAN,PRI,PRD,PT,PVEM,MC,PNA,MORENA,ES,PPG,IHG,CG,PSM,PSG,CAN_IND,CAND_NO_REG,VOTOS_NULOS,TOTAL_VOTOS
1,CHILPANCINGO DE LOS BRAVO,1027,11120,5517,2801,1652,935,505,26101,1041,1096,214,591,206,267,0,30,2770,55873
2,CHILPANCINGO DE LOS BRAVO,1383,12480,5759,2233,1770,1719,538,30137,1168,1015,209,1186,162,272,1055,62,2807,63955
3,ACAPULCO DE JUÁREZ,3764,7446,2341,3190,1933,1681,848,29538,1452,438,251,450,934,553,0,39,2668,57526
4,ACAPULCO DE JUÁREZ,2246,8052,2241,3028,884,2475,894,30117,1682,313,266,592,841,428,0,34,2634,56727
5,ACAPULCO DE JUÁREZ,1436,7207,8886,2069,839,1346,491,23462,1902,321,331,703,538,324,0,59,2972,52886
6,ACAPULCO DE JUÁREZ,1510,7305,4165,2120,1025,1290,649,24479,1693,339,185,513,491,257,0,44,2577,48642
7,ACAPULCO DE JUÁREZ,2400,12004,2379,2089,2201,1472,1168,23885,2235,411,238,356,583,293,0,12,3232,54958
8,ACAPULCO DE JUÁREZ,1452,10605,6115,1366,949,3811,533,18703,2743,400,1223,839,506,78,0,17,2649,51989
9,ACAPULCO DE JUÁREZ,2655,10146,7682,1440,1365,1535,676,16992,2655,214,214,1251,633,187,0,8,3353,51006
10,TECPAN DE GALEANA,758,8026,11339,739,2371,1010,7776,16036,935,823,102,249,125,197,1967,17,3481,55951
11,ZIHUATANEJO DE AZUETA,1125,12122,11404,1071,1157,1290,570,18493,984,133,136,773,81,316,0,4,2614,52273
12,ZIHUATANEJO DE AZUETA,858,11658,12900,886,5898,1299,323,16075,659,229,138,483,43,89,0,68,2955,54561
13,SAN MARCOS,3465,5063,12328,859,14437,1802,510,15227,1193,999,42,109,194,291,0,15,3613,60147
14,AYUTLA DE LOS LIBRES,614,4487,8469,1933,9423,859,1183,18849,455,283,347,542,180,160,0,1,3663,51448
15,SAN LUIS ACATLÁN,2296,10511,3601,2893,4780,4138,506,19402,758,1789,193,313,350,150,0,1,3354,55035
16,OMETEPEC,2277,11542,3956,12441,1215,716,733,14116,1453,3610,93,57,1142,108,0,3,3887,57349
17,COYUCA DE CATALÁN,650,11353,15146,570,584,916,239,19133,0,71,9,18,12,0,0,61,2717,51479
18,PUNGARABATO,1411,11411,26386,816,766,880,228,15327,398,93,48,217,27,35,0,20,3116,61179
19,EDUARDO NERI,1540,16296,3954,5802,1040,770,1859,10334,321,203,0,1267,49,0,0,10,2793,46238
20,TELOLOAPAN,771,11484,16070,1437,957,6939,2011,5870,342,411,128,54,773,58,0,17,3258,50580
21,TAXCO DE ALARCÓN,11782,14960,3626,2463,3275,1836,3294,14516,818,2434,1106,801,522,164,0,15,3107,64719
22,IGUALA DE LA INDEPENDENCIA,2146,12677,11487,2922,1695,1539,871,18293,1087,247,1556,300,229,279,0,30,2398,57756
23,HUITZUCO DE LOS FIGUEROA,6131,14027,4965,3479,3905,3029,2307,13447,1121,497,764,947,0,131,0,29,3371,58150
24,TIXTLA DE GUERRERO,1735,9028,19901,1608,2291,5350,783,12387,1119,297,158,242,254,489,0,12,4329,59983
25,CHILAPA DE ÁLVAREZ,1400,16183,13057,2480,853,928,599,13643,1733,291,78,187,0,2566,0,4,4483,58485
26,ATLIXTAC,7929,9932,18800,4528,2186,1495,1447,8946,729,379,250,57,169,784,0,17,3999,61647
27,TLAPA DE COMONFORT,1115,15956,3946,13934,1913,1804,382,20196,411,857,237,432,255,1121,0,39,4027,66625
28,TLAPA DE COMONFORT,480,9874,7412,10779,1672,4173,806,16974,1013,322,2504,854,99,233,0,23,4593,61811
